"loc","year","plot","gen","rep","trt","DHE","DMA","PLH","GYLD","TKW"
"SGonder","y2005","p55","EH1893","r4","t4",86,123,58,1350,27.1
"SGonder","y2005","p56","EH1864","r4","t10",92,126,57.6,295,33.2
"SGonder","y2005","p57","IBON4499","r4","t5",70,113,52.2,290,20.2
"SGonder","y2005","p58","F2SXS13395","r4","t12",77,114,75.2,420,31.6
"SGonder","y2005","p59","EH1505","r4","t3",79,113,82.4,845,37.2
"SGonder","y2005","p60","EH1847","r4","t1",76,115,81.2,1370,34.4
"Asasa","y2005","p1","EH1877","r1","t6",70,116,82,3638,39
"Asasa","y2005","p2","EH1505","r1","t3",74,114,85,3391,39.2
"Asasa","y2005","p3","EH1900","r1","t2",70,112,80,3356,42.8
"Asasa","y2005","p4","IBON2796","r1","t11",65,112,77,4445,50
"Asasa","y2005","p5","EH1869","r1","t7",80,114,97,3738,38
"Asasa","y2005","p6","EH1893","r1","t4",70,114,95,4169,30.4
"Asasa","y2005","p7","EH1864","r1","t10",70,112,75,3447,40.8
"Asasa","y2005","p8","EH1847","r1","t1",70,115,95,3720,46.2
"Asasa","y2005","p9","IBON4499","r1","t5",68,112,79,4439,45.2
"Asasa","y2005","p10","F2SXS13395","r1","t12",70,116,82,4121,45.2
"Asasa","y2005","p11","Beka","r1","t15",82,116,107,3141,28
"Asasa","y2005","p12","HB120","r1","t14",82,116,102,3566,31
"Asasa","y2005","p13","EH1551","r1","t8",68,114,80,4503,56
"Asasa","y2005","p14","BNEth019","r1","t13",65,110,85,4189,46.4
"Asasa","y2005","p15","EH18472","r1","t9",76,118,117,4075,39.4
"Asasa","y2005","p16","EH1893","r2","t4",75,116,90,4413,33.4
"Asasa","y2005","p17","Beka","r2","t15",82,118,124,3396,28.2
"Asasa","y2005","p18","BNEth019","r2","t13",67,108,80,4077,42.2
"Asasa","y2005","p19","IBON4499","r2","t5",70,114,72,4492,45
"Asasa","y2005","p20","EH18472","r2","t9",109,114,104,3433,36.6
"Asasa","y2005","p21","HB120","r2","t14",82,118,105,3170,28
"Asasa","y2005","p22","EH1864","r2","t10",70,115,65,3497,38.8
